id,accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,casualty_home_area_type,accident_severity,day_of_week,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,vehicle_type,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,hit_object_in_carriageway,hit_object_off_carriageway,first_point_of_impact,journey_purpose_of_driver,sex_of_driver,age_band_of_driver,age_of_vehicle,driver_home_area_type
535642,200701HT65528,1,2,2,1,-1,3,9,1,3,7,23:00,6,30,7,4,0,0,4,2,2,0,2,1,9,13,0,1,7,0,1,-1,1,7,10,1
538291,200701KD66093,3,1,1,1,6,3,90,1,3,5,06:45,3,70,0,-1,0,0,1,2,2,0,0,2,90,18,0,0,0,0,1,-1,1,6,-1,1
541195,200701LX67117,2,1,1,2,6,3,1,1,3,6,11:10,6,30,7,2,0,5,1,2,2,0,0,1,1,9,0,5,0,0,0,-1,2,6,-1,1
545368,200701QK63675,1,1,1,1,-1,3,9,1,3,1,00:15,6,30,0,-1,0,0,7,1,1,0,0,1,9,3,0,0,0,0,2,-1,1,-1,4,1
547161,200701SX20142,1,1,3,1,4,3,0,1,3,2,09:10,6,30,0,-1,0,0,1,1,1,0,0,1,9,12,0,0,0,0,1,-1,1,-1,-1,-1
550135,200701TX20509,1,1,1,2,6,3,9,1,3,6,07:23,6,30,6,2,0,0,1,1,1,0,0,1,9,18,0,8,0,0,1,-1,2,6,11,1
550453,200701TX67956,1,1,1,1,6,2,9,1,2,2,23:00,6,40,0,-1,0,0,4,2,5,0,0,1,9,18,0,0,0,4,1,-1,1,6,10,1
551014,200701VW40165,2,1,1,1,9,3,4,1,3,6,10:03,6,30,6,2,0,5,1,1,1,0,0,1,4,7,0,8,0,0,1,-1,1,9,10,1
551757,200701WW50407,1,1,1,2,6,3,9,1,3,7,15:55,6,30,3,4,0,0,1,2,2,0,0,1,9,10,0,1,0,0,2,-1,2,6,9,1
554887,200701YE80331,1,1,1,1,5,3,9,1,3,2,22:27,1,50,1,2,0,5,4,1,1,0,0,1,9,17,0,8,0,0,3,-1,1,5,9,1
558316,2007030000733,2,2,2,2,6,3,9,1,3,3,11:30,6,30,0,-1,0,0,1,1,1,0,0,2,9,18,0,0,0,0,1,-1,1,7,4,1
559597,2007030002956,2,1,1,1,6,3,9,1,3,7,17:12,6,30,3,4,0,0,1,1,1,0,2,1,9,15,0,1,0,0,1,-1,1,6,18,1
566035,200704EN07084,2,1,1,1,8,3,9,3,3,2,17:37,6,40,6,3,0,0,1,1,2,0,0,2,9,14,0,1,0,0,2,2,1,8,10,3
566547,200704FB07046,2,2,2,1,3,3,9,1,3,6,15:35,1,30,1,4,0,0,1,2,2,0,0,2,9,18,0,3,0,0,2,3,2,8,4,1
581195,200706M083748,1,1,1,2,9,3,9,1,3,5,15:00,6,30,3,4,0,0,1,1,1,0,0,1,9,7,0,6,0,0,3,-1,2,9,10,1
581959,200706P064567,2,1,2,1,9,3,9,-1,3,2,17:15,6,30,8,4,0,0,4,2,2,0,0,1,9,3,0,1,0,0,3,-1,2,7,6,-1
585621,2007070303223,1,1,1,-1,-1,3,9,-1,3,1,17:10,6,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,1,-1,3,-1,-1,-1
589339,2007100002107,1,1,1,1,6,3,9,-1,3,5,16:30,6,60,8,4,0,0,4,1,1,0,0,2,9,18,0,8,0,0,1,-1,1,6,7,-1
593938,2007100759507,2,1,1,2,7,3,9,1,3,2,08:00,6,30,3,4,0,0,1,1,2,0,0,1,9,3,0,8,0,0,4,-1,2,7,-1,1
595344,200711AB15060,2,1,2,2,9,3,9,1,3,1,14:30,6,40,3,4,0,0,1,1,1,0,0,2,9,18,0,8,0,0,1,-1,1,6,3,2
597330,200711DJ13490,2,2,1,1,8,2,11,2,1,6,22:25,6,60,0,-1,0,0,6,1,1,0,0,2,11,18,0,0,0,10,1,1,1,8,13,2
608065,2007130776507,1,2,2,2,10,3,9,2,3,6,11:30,6,40,9,4,0,0,1,1,1,0,0,2,9,17,0,8,0,0,4,-1,1,7,8,2
608293,2007130802807,1,1,1,1,6,3,9,1,3,1,20:43,6,40,0,-1,0,8,4,1,1,0,0,1,9,18,0,0,0,0,2,1,1,6,8,1
613211,200714B064507,1,1,2,2,2,3,9,1,3,2,19:30,6,30,3,4,0,1,1,1,2,0,0,1,9,17,0,2,0,0,0,-1,1,9,-1,1
614289,200714C082107,2,2,2,2,4,3,9,1,3,5,19:10,1,40,1,4,0,0,1,1,1,0,0,1,9,4,0,4,0,0,2,-1,1,9,14,1
614967,200714C186707,1,1,1,2,6,3,19,1,3,6,12:45,1,40,1,4,0,7,1,1,1,0,0,1,19,17,0,8,0,0,2,1,2,6,12,1
615278,200714G026507,1,1,2,2,9,3,11,1,3,5,12:33,3,30,3,4,0,0,1,1,1,0,0,1,11,4,0,1,0,0,0,1,1,9,5,1
616217,200714H033207,1,1,1,2,7,3,9,1,3,6,01:16,3,30,3,2,0,0,4,2,2,0,0,1,9,18,0,8,0,1,1,-1,2,7,-1,1
616464,200714H078807,1,14,2,1,6,3,10,1,2,1,18:40,6,60,0,-1,0,0,1,1,1,0,0,2,10,16,0,0,0,7,1,1,1,7,-1,1
617313,2007160A00400,3,2,1,2,10,3,9,1,3,1,12:58,6,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,1,-1,2,10,-1,1
620009,2007160C07010,1,1,1,2,8,3,9,1,3,2,20:24,1,40,1,4,0,0,4,1,1,0,0,1,9,5,0,4,0,2,3,2,2,8,5,1
621273,2007170H10377,1,2,2,1,4,3,9,1,3,2,18:10,6,40,0,-1,0,0,4,1,2,0,0,1,9,3,0,0,0,0,2,-1,1,8,1,1
631542,200720K056401,2,1,1,2,6,3,9,1,3,5,19:35,6,30,3,4,0,4,1,2,2,0,0,1,9,4,0,1,0,0,2,-1,2,6,1,1
631745,200720K073402,2,1,2,2,6,3,9,1,3,2,22:30,3,40,0,-1,0,0,4,-1,1,0,0,1,9,2,0,0,0,0,2,-1,1,6,8,1
633439,200720M039501,2,1,1,1,8,3,4,1,3,3,07:58,7,30,7,2,0,5,1,1,1,0,0,1,4,3,0,1,0,0,1,2,1,8,48,1
640108,200722CA85678,1,1,1,2,4,2,2,1,2,2,17:37,6,60,0,-1,0,0,1,1,1,0,0,2,2,17,0,0,0,10,1,-1,2,4,2,1
642791,200722FA85482,1,1,1,1,7,3,9,2,3,2,04:49,6,60,0,-1,0,0,6,1,1,0,0,2,9,18,0,0,0,10,3,1,1,7,5,2
643891,200722FA87515,1,5,2,2,3,3,9,2,3,4,19:55,6,60,3,4,0,0,4,1,1,0,0,2,9,18,0,6,0,0,4,-1,1,5,1,1
648964,200730B000625,1,1,3,1,7,3,0,3,3,2,08:45,6,60,3,4,0,0,1,1,1,0,0,2,9,9,0,2,0,0,1,-1,1,11,5,3
653527,20073102B3762,2,1,2,2,7,3,9,1,3,4,17:02,6,30,0,-1,0,5,4,1,1,0,0,1,9,18,0,0,0,0,2,2,1,7,1,1
665023,200734TM30457,3,6,2,2,5,3,9,1,3,1,14:50,3,70,0,-1,0,0,1,2,2,0,0,2,9,18,0,0,0,0,2,-1,1,6,7,3
671324,2007360041487,1,1,2,1,4,3,9,-1,3,4,22:58,6,60,0,-1,0,0,6,1,1,0,0,2,9,16,0,0,0,4,1,-1,1,4,11,-1
672701,2007360044142,1,1,1,2,4,3,9,3,3,5,18:48,6,30,0,-1,0,0,4,1,2,0,0,2,9,18,0,0,0,0,1,-1,2,4,7,3
674674,200737B029612,2,2,1,1,8,3,9,1,3,6,17:20,6,60,0,-1,0,0,6,1,1,0,0,2,9,18,0,0,0,0,1,1,1,8,19,1
675609,200737G023634,1,1,1,1,4,3,9,3,3,3,08:33,6,60,0,-1,0,0,1,1,2,0,0,2,9,13,0,0,0,0,1,-1,1,4,6,3
679260,20074100B0041,1,1,1,1,5,2,9,1,2,4,16:50,6,40,0,0,0,0,6,5,2,0,0,1,9,18,0,0,0,3,3,-1,1,5,-1,1
679287,20074100B0091,1,1,1,2,6,3,9,1,3,4,12:35,6,60,0,0,0,0,1,1,2,5,0,2,9,17,0,0,0,10,1,1,2,6,12,1
682408,20074100J2606,1,2,2,2,3,3,9,1,3,1,15:17,3,30,8,2,0,0,1,1,1,0,0,1,9,9,0,5,0,0,4,-1,2,4,0,1
